"","name","decade","type","budget"
"1","Gary_Busey","40",FALSE,NA
"2","Dark_Shadows_(film)","",TRUE,1.5e+08
"3","Christopher_Walken","60",FALSE,NA
"4","Frederic_Forrest","40",FALSE,NA
"5","What's_Eating_Gilbert_Grape","",TRUE,1.1e+07
"6","John_C._Reilly","20",FALSE,NA
"7","Jason_Isaacs","20",FALSE,NA
"8","Jonny_Lee_Miller","30",FALSE,NA
"9","Chocolat_(2000_film)","",TRUE,2.5e+07
"10","Ricki_Lake","20",FALSE,NA
"11","Alain_Chabat",NA,FALSE,NA
"12","Michael_Rispoli",NA,FALSE,NA
"13","Pushing_Tin","",TRUE,3.3e+07
"14","Dody_Goodman","60",FALSE,NA
"15","The_Hobbit:_The_Battle_of_the_Five_Armies","",TRUE,2.5e+08
"16","Secret_Window","",TRUE,4e+07
"17","Christine_Baranski","40",FALSE,NA
"18","Charlie_and_the_Chocolate_Factory_(film)","",TRUE,1.5e+08
"19","Texas_Rising","",TRUE,NA
"20","Carrie-Anne_Moss","20",FALSE,NA
"21","Charles_S._Dutton",NA,FALSE,NA
"22","Jackie_Earle_Haley","40",FALSE,NA
"23","Rebecca_Hall","20",FALSE,NA
"24","Happily_Ever_After_(2004_film)","",TRUE,NA
"25","Jonathan_Pryce","40",FALSE,NA
"26","Sacha_Baron_Cohen",NA,FALSE,NA
"27","Morgan_Freeman","50",FALSE,NA
"28","Orlando_Bloom","20",FALSE,NA
"29","Noah_Taylor","20",FALSE,NA
"30","Jeffrey_Jones","40",FALSE,NA
"31","Bill_Murray","40",FALSE,NA
"32","Gabriel_Byrne","30",FALSE,NA
"33","Abigail_Breslin","10",FALSE,NA
"34","Robbie_Coltrane",NA,FALSE,NA
"35","August:_Osage_County_(film)","",TRUE,2.5e+07
"36","Cheech_Marin",NA,FALSE,NA
"37","Elpidia_Carrillo","30",FALSE,NA
"38","Nine_Lives_(2005_film)","",TRUE,NA
"39","Faye_Dunaway","50",FALSE,NA
"40","Robert_Englund","40",FALSE,NA
"41","Corey_Stoll",NA,FALSE,NA
"42","Kaya_Scodelario",NA,FALSE,NA
"43","Michael_Parks","50",FALSE,NA
"44","Emmanuelle_Seigner","30",FALSE,NA
"45","Tracey_Ullman",NA,FALSE,NA
"46","William_H._Macy","30",FALSE,NA
"47","Colin_Farrell","10",FALSE,NA
"48","Chow_Yun-fat",NA,FALSE,NA
"49","Judi_Dench","50",FALSE,NA
"50","A_Nightmare_on_Elm_Street","",TRUE,NA
"51","Donald_Trump's_The_Art_of_the_Deal:_The_Movie","",TRUE,NA
"52","Paul_Bettany","20",FALSE,NA
"53","Timothy_Dalton","50",FALSE,NA
"54","Robert_Mitchum","70",FALSE,NA
"55","Dead_Man","",TRUE,NA
"56","Benny_&_Joon","",TRUE,NA
"57","Black_Mass_(film)","",TRUE,5.3e+07
"58","James_Fox","60",FALSE,NA
"59","Winona_Ryder","30",FALSE,NA
"60","Beowulf_(2007_film)","",TRUE,1.5e+08
"61","Pirates_of_the_Caribbean_(film_series)","",TRUE,1e+09
"62","Charlotte_Gainsbourg","30",FALSE,NA
"63","Willem_Dafoe","30",FALSE,NA
"64","Juliette_Lewis","20",FALSE,NA
"65","Timothy_Olyphant",NA,FALSE,NA
"66","Buy_the_Ticket,_Take_the_Ride:_Hunter_S._Thompson_on_Film","",TRUE,NA
"67","Peter_DeLuise",NA,FALSE,NA
"68","Finding_Neverland_(film)","",TRUE,2.5e+07
"69","Ian_Richardson",NA,FALSE,NA
